reviewText,overall,productCategory
"Excellent product, works perfectly",5,Electronics
"Very good quality and fast delivery",4,Electronics
"Average performance, not bad",3,Electronics
"Stopped working after few days",1,Electronics
"Not worth the money",2,Electronics
"Great phone with amazing features",5,Electronics
"Battery life could be better",3,Electronics
"Loved the design and performance",5,Electronics
"Poor build quality",2,Electronics
"Highly recommended!",5,Electronics
"Sound quality is fantastic",5,Electronics
"Decent headphones for price",4,Electronics
"Not comfortable for long use",2,Electronics
"Mic not working properly",1,Electronics
"Good value for money",4,Electronics
"Average product, nothing special",3,Electronics
"Exceeded expectations",5,Electronics
"Bad experience overall",1,Electronics
"Works fine as expected",4,Electronics
"Cheap materials used",2,Electronics
"Perfect for daily use",5,Electronics
"Okayish performance",3,Electronics
"Delivery was delayed",2,Electronics
"Superb product quality",5,Electronics
"Not satisfied",1,Electronics

"Very comfortable shoes",5,Fashion
"Nice design but size issue",3,Fashion
"Material feels cheap",2,Fashion
"Perfect fit and stylish",5,Fashion
"Not as shown in image",1,Fashion
"Good fabric quality",4,Fashion
"Color faded after wash",2,Fashion
"Looks amazing!",5,Fashion
"Average clothing item",3,Fashion
"Highly recommended dress",5,Fashion
"Poor stitching quality",1,Fashion
"Comfortable but expensive",4,Fashion
"Nice casual wear",4,Fashion
"Not worth buying",2,Fashion
"Excellent quality jeans",5,Fashion
"Fits perfectly",5,Fashion
"Loose fitting issue",2,Fashion
"Good but delivery late",3,Fashion
"Stylish and trendy",5,Fashion
"Bad material quality",1,Fashion
"Soft and comfortable",5,Fashion
"Average fabric",3,Fashion
"Nice but overpriced",3,Fashion
"Great purchase!",5,Fashion
"Disappointed with quality",1,Fashion

"Very tasty and fresh",5,Grocery
"Good quality snacks",4,Grocery
"Average taste",3,Grocery
"Expired product received",1,Grocery
"Not worth price",2,Grocery
"Delicious and healthy",5,Grocery
"Packaging was poor",2,Grocery
"Highly recommended food item",5,Grocery
"Okay product",3,Grocery
"Fresh and well packed",5,Grocery
"Bad taste",1,Grocery
"Good value pack",4,Grocery
"Average freshness",3,Grocery
"Very खराब quality",1,Grocery
"Nice flavor",4,Grocery
"Perfect for daily use",5,Grocery
"Not satisfied with taste",2,Grocery
"Decent quality",3,Grocery
"Excellent product",5,Grocery
"Poor packaging",2,Grocery
"Very fresh items",5,Grocery
"Okayish product",3,Grocery
"Not recommended",1,Grocery
"Good purchase",4,Grocery
"Loved it",5,Grocery
